2023-12-10 01:08:56,974: Executor: process, n_jobs: 13, Result: 1.0000785377601717, Time: 0.09544515609741211
2023-12-10 01:08:57,116: Executor: thread, n_jobs: 14, Result: 1.0000785377601717, Time: 0.14241695404052734
2023-12-10 01:08:57,292: Executor: process, n_jobs: 14, Result: 1.0000785377601717, Time: 0.1754772663116455
2023-12-10 01:08:57,443: Executor: thread, n_jobs: 15, Result: 1.0000785377601717, Time: 0.15053105354309082
2023-12-10 01:08:57,560: Executor: process, n_jobs: 15, Result: 1.0000785377601717, Time: 0.11735939979553223
2023-12-10 01:08:57,676: Executor: thread, n_jobs: 16, Result: 1.0000785377601717, Time: 0.11576533317565918
2023-12-10 01:08:57,784: Executor: process, n_jobs: 16, Result: 1.0000785377601717, Time: 0.10803651809692383
2023-12-10 01:09:31,389: Executor: thread, n_jobs: 1, Result: 1.0000078539610675, Time: 0.012774944305419922
2023-12-10 01:09:31,400: Executor: process, n_jobs: 1, Result: 1.0000078539610675, Time: 0.011724233627319336
2023-12-10 01:09:32,784: Executor: thread, n_jobs: 2, Result: 1.0000078539610675, Time: 1.383763074874878
2023-12-10 01:09:34,292: Executor: process, n_jobs: 2, Result: 1.0000078539610675, Time: 1.507950782775879
2023-12-10 01:09:35,624: Executor: thread, n_jobs: 3, Result: 1.0000078539610675, Time: 1.3312361240386963
2023-12-10 01:09:37,049: Executor: process, n_jobs: 3, Result: 1.0000078539610675, Time: 1.4254286289215088
2023-12-10 01:09:38,717: Executor: thread, n_jobs: 4, Result: 1.0000078539610675, Time: 1.6676313877105713
2023-12-10 01:09:40,127: Executor: process, n_jobs: 4, Result: 1.0000078539610675, Time: 1.4092397689819336
2023-12-10 01:09:41,704: Executor: thread, n_jobs: 5, Result: 1.0000078539610675, Time: 1.5773732662200928
2023-12-10 01:09:43,105: Executor: process, n_jobs: 5, Result: 1.0000078539610675, Time: 1.4004342555999756
2023-12-10 01:09:44,729: Executor: thread, n_jobs: 6, Result: 1.0000078539610675, Time: 1.624070405960083
2023-12-10 01:09:46,339: Executor: process, n_jobs: 6, Result: 1.0000078539610675, Time: 1.6097676753997803
2023-12-10 01:09:48,220: Executor: thread, n_jobs: 7, Result: 1.0000078539610675, Time: 1.8806090354919434
2023-12-10 01:09:50,167: Executor: process, n_jobs: 7, Result: 1.0000078539610675, Time: 1.9474008083343506
2023-12-10 01:09:51,726: Executor: thread, n_jobs: 8, Result: 1.0000078539610675, Time: 1.5587334632873535
2023-12-10 01:09:53,451: Executor: process, n_jobs: 8, Result: 1.0000078539610675, Time: 1.7245597839355469
2023-12-10 01:09:55,383: Executor: thread, n_jobs: 9, Result: 1.0000078539610675, Time: 1.9318475723266602
2023-12-10 01:09:57,223: Executor: process, n_jobs: 9, Result: 1.0000078539610675, Time: 1.8401336669921875
2023-12-10 01:09:58,957: Executor: thread, n_jobs: 10, Result: 1.0000078539610675, Time: 1.7330107688903809
2023-12-10 01:10:00,430: Executor: process, n_jobs: 10, Result: 1.0000078539610675, Time: 1.4731285572052002
2023-12-10 01:10:02,347: Executor: thread, n_jobs: 11, Result: 1.0000078539610675, Time: 1.917285442352295
2023-12-10 01:10:04,296: Executor: process, n_jobs: 11, Result: 1.0000078539610675, Time: 1.9484922885894775
2023-12-10 01:10:06,027: Executor: thread, n_jobs: 12, Result: 1.0000078539610675, Time: 1.7310914993286133
2023-12-10 01:10:07,438: Executor: process, n_jobs: 12, Result: 1.0000078539610675, Time: 1.410623550415039
2023-12-10 01:10:09,113: Executor: thread, n_jobs: 13, Result: 1.0000078539610675, Time: 1.674856424331665
2023-12-10 01:10:10,792: Executor: process, n_jobs: 13, Result: 1.0000078539610675, Time: 1.67879319190979
2023-12-10 01:10:12,650: Executor: thread, n_jobs: 14, Result: 1.0000078539610675, Time: 1.8572425842285156
2023-12-10 01:10:12,953: Executor: thread, n_jobs: 1, Result: 1.0000078539610675, Time: 0.0282135009765625
2023-12-10 01:10:12,979: Executor: process, n_jobs: 1, Result: 1.0000078539610675, Time: 0.024962902069091797
2023-12-10 01:10:14,351: Executor: thread, n_jobs: 2, Result: 1.0000078539610675, Time: 1.3717849254608154
2023-12-10 01:10:15,805: Executor: process, n_jobs: 2, Result: 1.0000078539610675, Time: 1.4542160034179688
2023-12-10 01:10:47,423: Executor: thread, n_jobs: 1, Result: 1.0000078539610675, Time: 0.012280702590942383
2023-12-10 01:10:47,436: Executor: process, n_jobs: 1, Result: 1.0000078539610675, Time: 0.012071609497070312
2023-12-10 01:10:48,901: Executor: thread, n_jobs: 2, Result: 1.0000078539610675, Time: 1.4656155109405518
2023-12-10 01:10:50,547: Executor: process, n_jobs: 2, Result: 1.0000078539610675, Time: 1.645714521408081
2023-12-10 01:10:52,187: Executor: thread, n_jobs: 3, Result: 1.0000078539610675, Time: 1.6391806602478027
2023-12-10 01:10:53,487: Executor: process, n_jobs: 3, Result: 1.0000078539610675, Time: 1.3007051944732666
2023-12-10 01:11:46,522: Executor: thread, n_jobs: 1, Result: 1.0000078539610675, Time: 0.011893033981323242
2023-12-10 01:11:46,534: Executor: process, n_jobs: 1, Result: 1.0000078539610675, Time: 0.011916399002075195
2023-12-10 01:11:47,988: Executor: thread, n_jobs: 2, Result: 1.0000078539610675, Time: 1.4544804096221924
2023-12-10 01:11:49,433: Executor: process, n_jobs: 2, Result: 1.0000078539610675, Time: 1.4441850185394287
2023-12-10 01:11:50,885: Executor: thread, n_jobs: 3, Result: 1.0000078539610675, Time: 1.451995611190796
2023-12-10 01:11:52,246: Executor: process, n_jobs: 3, Result: 1.0000078539610675, Time: 1.3605766296386719
2023-12-10 01:11:53,782: Executor: thread, n_jobs: 4, Result: 1.0000078539610675, Time: 1.5358734130859375
2023-12-10 01:11:55,335: Executor: process, n_jobs: 4, Result: 1.0000078539610675, Time: 1.552748441696167
2023-12-10 01:11:57,137: Executor: thread, n_jobs: 5, Result: 1.0000078539610675, Time: 1.8017463684082031
2023-12-10 01:11:58,585: Executor: process, n_jobs: 5, Result: 1.0000078539610675, Time: 1.448103666305542
2023-12-10 01:12:00,508: Executor: thread, n_jobs: 6, Result: 1.0000078539610675, Time: 1.9224674701690674
2023-12-10 01:12:02,388: Executor: process, n_jobs: 6, Result: 1.0000078539610675, Time: 1.8799083232879639
2023-12-10 01:12:04,028: Executor: thread, n_jobs: 7, Result: 1.0000078539610675, Time: 1.6402993202209473
2023-12-10 01:12:05,725: Executor: process, n_jobs: 7, Result: 1.0000078539610675, Time: 1.6960117816925049
